"","Block_Nummer","Block_Einwohnerzahl","Wahlbezirk_Nummer","Wahlbezirk_Bloeckezahl","Wahlbezirk_Einwohnerzahl","Wahlbezirk_Uebervoelkert","Block_Nachbar_1","Block_Nachbar_2","Block_Nachbar_3","Block_Nachbar_4","Block_Nachbar_5","Block_Nachbar_6","Block_Nachbar_7","Block_Nachbar_8","Block_Nachbar_9","Block_Nachbar_10","Block_Nachbar_11","Block_Nachbar_12","Block_Nachbar_13","Block_Nachbar_1_Wahlbezirk","Block_Nachbar_2_Wahlbezirk","Block_Nachbar_3_Wahlbezirk","Block_Nachbar_4_Wahlbezirk","Block_Nachbar_5_Wahlbezirk","Block_Nachbar_6_Wahlbezirk","Block_Nachbar_7_Wahlbezirk","Block_Nachbar_8_Wahlbezirk","Block_Nachbar_9_Wahlbezirk","Block_Nachbar_10_Wahlbezirk","Block_Nachbar_11_Wahlbezirk","Block_Nachbar_12_Wahlbezirk","Block_Nachbar_13_Wahlbezirk","Optimized_Wahlbezirk_1","Optimized_Wahlbezirk_2","Optimized_Wahlbezirk_3","Optimized_Wahlbezirk_4","Optimized_Wahlbezirk_5","Optimized_Wahlbezirk_6"
"11","054131",193,"1505",5,2364,0,"055081","054132","054148","054149","055103","055104",NA,NA,NA,NA,NA,NA,NA,"1451","1505","1497","1505","1477","1451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","055098",444,"1470",8,2111,0,"055097","055099","055074","055075","055076","055077","055078","055619",NA,NA,NA,NA,NA,"1427","1427","1438","1470","1470","1470","1470","1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","054132",766,"1505",5,2364,0,"055081","054131","054133","054082","054149","054155","054156","055104",NA,NA,NA,NA,NA,"1451","1505","1506","1451","1505","1505","1506","1451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","055099",599,"1427",7,2255,0,"055097","055098","055116","055117","055118","055619",NA,NA,NA,NA,NA,NA,NA,"1427","1470","1427","1427","1477","1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","054133",513,"1506",5,2667,1,"054132","054134","054082","054105","054156","057157",NA,NA,NA,NA,NA,NA,NA,"1505","1506","1451","1460","1506","1506",NA,NA,NA,NA,NA,NA,NA,"1505","1451","1460",NA,NA,NA
"16","054134",646,"1506",5,2667,1,"054133","054105","054106","054107","057157","057911",NA,NA,NA,NA,NA,NA,NA,"1506","1460","1460","1460","1506","1481",NA,NA,NA,NA,NA,NA,NA,"1460","1481",NA,NA,NA,NA
"17","054138",343,"1431",7,2312,0,"054139","054119","054120","054121","054169",NA,NA,NA,NA,NA,NA,NA,NA,"1431","1423","1423","1423","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","054139",249,"1431",7,2312,0,"054138","054120","054121","054122","054140","054169","054173",NA,NA,NA,NA,NA,NA,"1431","1423","1423","1423","1431","1436","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","054082",196,"1451",4,2324,0,"055081","054132","054133","054083","054105","056056","056057",NA,NA,NA,NA,NA,NA,"1451","1505","1506","1460","1460","1463","1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","054083",465,"1460",7,2317,0,"054082","054105","054106","056056","056057","057058","057084",NA,NA,NA,NA,NA,NA,"1451","1460","1460","1463","1463","1460","1460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","054105",103,"1460",7,2317,0,"054133","054134","054082","054083","054106","057084",NA,NA,NA,NA,NA,NA,NA,"1506","1506","1451","1460","1460","1460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","054106",360,"1460",7,2317,0,"054134","054083","054105","054107","057084","057085",NA,NA,NA,NA,NA,NA,NA,"1506","1460","1460","1460","1460","1485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","054107",32,"1460",7,2317,0,"054134","054106","057084","057085",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1506","1460","1460","1485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","054119",321,"1423",9,2283,0,"054138","054120","055109","055111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1431","1423","1421","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","054120",295,"1423",9,2283,0,"054138","054139","054119","054121","055109","055111",NA,NA,NA,NA,NA,NA,NA,"1431","1431","1423","1423","1421","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","054121",337,"1423",9,2283,0,"054138","054139","054120","054122","054140","055111",NA,NA,NA,NA,NA,NA,NA,"1431","1431","1423","1423","1431","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","054122",211,"1423",9,2283,0,"054139","054121","054123","054140","054142","055618",NA,NA,NA,NA,NA,NA,NA,"1431","1423","1423","1431","1423","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","054123",217,"1423",9,2283,0,"054122","054124","054142","055115","055618",NA,NA,NA,NA,NA,NA,NA,NA,"1423","1423","1423","1427","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","054124",185,"1423",9,2283,0,"054123","054125","054142","054143","055115","055116","055618",NA,NA,NA,NA,NA,NA,"1423","1423","1423","1423","1427","1427","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","054125",191,"1423",9,2283,0,"054124","054142","054143","055115","055116","055117",NA,NA,NA,NA,NA,NA,NA,"1423","1423","1423","1427","1427","1427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","054127",235,"1497",6,2384,0,"054128","054146","054147","055117","055118",NA,NA,NA,NA,NA,NA,NA,NA,"1505","1497","1497","1427","1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","054128",471,"1505",5,2364,0,"054127","054146","054147","055117","055118",NA,NA,NA,NA,NA,NA,NA,NA,"1497","1497","1497","1427","1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","054140",166,"1431",7,2312,0,"054139","054121","054122","054142","054144","054169","054173",NA,NA,NA,NA,NA,NA,"1431","1423","1423","1423","1431","1436","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","054142",345,"1423",9,2283,0,"054122","054123","054124","054125","054140","054143","054144",NA,NA,NA,NA,NA,NA,"1423","1423","1423","1423","1431","1423","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","054143",181,"1423",9,2283,0,"054124","054125","054142","054144","054150",NA,NA,NA,NA,NA,NA,NA,NA,"1423","1423","1423","1431","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","054144",414,"1431",7,2312,0,"054140","054142","054143","054150","054151",NA,NA,NA,NA,NA,NA,NA,NA,"1431","1423","1423","1431","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","054146",421,"1497",6,2384,0,"054127","054128","054147","054150","054152","054153",NA,NA,NA,NA,NA,NA,NA,"1497","1505","1497","1431","1497","1497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","054147",408,"1497",6,2384,0,"054127","054128","054146","054148","054152","054153",NA,NA,NA,NA,NA,NA,NA,"1497","1505","1497","1497","1497","1497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","054148",561,"1497",6,2384,0,"054131","054147","054149","054153","054154","054155",NA,NA,NA,NA,NA,NA,NA,"1505","1497","1505","1497","1459","1505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","054149",492,"1505",5,2364,0,"054131","054132","054148","054154","054155",NA,NA,NA,NA,NA,NA,NA,NA,"1505","1505","1497","1459","1505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","054150",339,"1431",7,2312,0,"054143","054144","054146","054151","054152",NA,NA,NA,NA,NA,NA,NA,NA,"1423","1431","1497","1431","1497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","054151",489,"1431",7,2312,0,"054144","054150","054152","054179",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1431","1431","1497","1459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","054152",376,"1497",6,2384,0,"054146","054147","054150","054151","054153","054154","054179",NA,NA,NA,NA,NA,NA,"1497","1497","1431","1431","1497","1459","1459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","054153",383,"1497",6,2384,0,"054146","054147","054148","054152","054154","054179",NA,NA,NA,NA,NA,NA,NA,"1497","1497","1497","1497","1459","1459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","054154",968,"1459",3,2361,0,"054148","054149","054152","054153","054155","054179","054180","054181",NA,NA,NA,NA,NA,"1497","1505","1497","1497","1505","1459","1459","1481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","054155",442,"1505",5,2364,0,"054132","054148","054149","054154","054156","054181",NA,NA,NA,NA,NA,NA,NA,"1505","1497","1505","1459","1506","1481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","054156",509,"1506",5,2667,1,"054132","054133","054155","054181","057157","057159",NA,NA,NA,NA,NA,NA,NA,"1505","1506","1505","1481","1506","1506",NA,NA,NA,NA,NA,NA,NA,"1505","1481",NA,NA,NA,NA
"48","054168",521,"1436",9,2180,0,"054170","054171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","054169",166,"1436",9,2180,0,"054138","054139","054140","054170","054172","054173",NA,NA,NA,NA,NA,NA,NA,"1431","1431","1431","1436","1436","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","054170",111,"1436",9,2180,0,"054168","054169","054171","054172",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1436","1436","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","054171",223,"1436",9,2180,0,"054168","054170","054172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1436","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","054172",199,"1436",9,2180,0,"054169","054170","054171","054173",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1436","1436","1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","054173",312,"1431",7,2312,0,"054139","054140","054169","054172",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1431","1431","1436","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","054179",749,"1459",3,2361,0,"054151","054152","054153","054154","054180","054181","054209","054210","054219",NA,NA,NA,NA,"1431","1497","1497","1459","1459","1481","1442","1442","1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","054180",644,"1459",3,2361,0,"054154","054179","054181","054219","054220","054222","057183","057184","058182",NA,NA,NA,NA,"1459","1459","1481","1473","1473","1479","1479","1479","1479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","054181",877,"1481",6,2142,0,"054154","054155","054156","054179","054180","057159","057183","057184","057185","057186",NA,NA,NA,"1459","1505","1506","1459","1459","1506","1479","1479","1481","1481",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","054205",319,"1436",9,2180,0,"054206","054214","054634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1436","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","054206",351,"1436",9,2180,0,"054205","054207","054214","054215",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1442","1436","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","054207",329,"1442",7,2239,0,"054206","054208","054214","054215",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1442","1436","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","054208",393,"1442",7,2239,0,"054217","054207","054209","054215",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1442","1442","1442","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","054209",356,"1442",7,2239,0,"054217","054179","054208","054210","054215",NA,NA,NA,NA,NA,NA,NA,NA,"1442","1459","1442","1442","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","054210",422,"1442",7,2239,0,"054217","054179","054209","054218","054219",NA,NA,NA,NA,NA,NA,NA,NA,"1442","1459","1442","1473","1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","054214",219,"1436",9,2180,0,"054205","054206","054207","054215","054216","054634",NA,NA,NA,NA,NA,NA,NA,"1436","1436","1442","1442","1442","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","054215",209,"1442",7,2239,0,"054217","054206","054207","054208","054209","054214","054216",NA,NA,NA,NA,NA,NA,"1442","1436","1442","1442","1442","1436","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","054216",322,"1442",7,2239,0,"054217","054214","054215","054218",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1442","1436","1442","1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","054218",681,"1473",6,2500,0,"054217","054210","054216","054219","054220","054221","054225","054226",NA,NA,NA,NA,NA,"1442","1442","1442","1473","1473","1473","1473","1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","054219",384,"1473",6,2500,0,"054179","054180","054210","054218","054220","054222","058182",NA,NA,NA,NA,NA,NA,"1459","1459","1442","1473","1473","1479","1479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","054220",407,"1473",6,2500,0,"054180","054218","054219","054221","054222",NA,NA,NA,NA,NA,NA,NA,NA,"1459","1473","1473","1473","1479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","054221",401,"1473",6,2500,0,"054218","054220","054222","054225","054226",NA,NA,NA,NA,NA,NA,NA,NA,"1473","1473","1479","1473","1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","054222",423,"1479",5,2571,1,"054180","054219","054220","054221","054226","058182","058187",NA,NA,NA,NA,NA,NA,"1459","1473","1473","1473","1473","1479","1479",NA,NA,NA,NA,NA,NA,"1459","1473",NA,NA,NA,NA
"71","054225",240,"1473",6,2500,0,"054218","054221","054226","059624","060632",NA,NA,NA,NA,NA,NA,NA,NA,"1473","1473","1473","1476","1476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","054226",387,"1473",6,2500,0,"054218","054221","054222","054225","058182","058187","059624",NA,NA,NA,NA,NA,NA,"1473","1473","1479","1473","1479","1479","1476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","054634",71,"1436",9,2180,0,"054205","054214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","055034",521,"1507",6,2094,0,"055035","055039","055040","055041","055611","056607","056609",NA,NA,NA,NA,NA,NA,"1507","1434","1434","1507","1507","1507","1507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","055035",470,"1507",6,2094,0,"055034","055036","055040","055041","055042","055043","056607","056609","056610",NA,NA,NA,NA,"1507","1488","1434","1507","1434","1488","1507","1507","1509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","055036",330,"1488",6,1934,0,"055035","055037","055042","055043","055044","056024","056609","056610",NA,NA,NA,NA,NA,"1507","1488","1434","1488","1488","1509","1507","1509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","055037",213,"1488",6,1934,0,"055036","055044","056024","056025","056038","056610",NA,NA,NA,NA,NA,NA,NA,"1488","1488","1509","1509","1488","1509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","055039",573,"1434",6,2196,0,"055034","055040","055048","055049","055611",NA,NA,NA,NA,NA,NA,NA,NA,"1507","1434","1434","1434","1507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","055040",309,"1434",6,2196,0,"055034","055035","055039","055041","055048","055049","055061","055611",NA,NA,NA,NA,NA,"1507","1507","1434","1507","1434","1434","1434","1507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","055041",246,"1507",6,2094,0,"055034","055035","055040","055042","055051",NA,NA,NA,NA,NA,NA,NA,NA,"1507","1507","1434","1434","1438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","055042",361,"1434",6,2196,0,"055035","055036","055041","055043","055051","055640",NA,NA,NA,NA,NA,NA,NA,"1507","1488","1507","1488","1438","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","055043",191,"1488",6,1934,0,"055035","055036","055042","055044","055051","055640",NA,NA,NA,NA,NA,NA,NA,"1507","1488","1434","1488","1438","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","055044",302,"1488",6,1934,0,"055036","055037","055043","055045","055053","055640","056025","056038",NA,NA,NA,NA,NA,"1488","1488","1488","1495","1495","1488","1509","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","055045",758,"1495",4,1940,0,"055044","055053","055054","055640","056027","056038","056046","056056",NA,NA,NA,NA,NA,"1488","1495","1495","1488","1510","1488","1463","1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","055048",356,"1434",6,2196,0,"055039","055040","055049","055061","055065","055066",NA,NA,NA,NA,NA,NA,NA,"1434","1434","1434","1434","1438","1438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","055049",222,"1434",6,2196,0,"055039","055040","055048","055061",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1434","1434","1434","1434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","056047",392,"1463",4,2409,0,"056027","056028","056029","056046",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1510","1510","1510","1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","055051",420,"1438",7,2374,0,"055041","055042","055043","055061","055062","055068","055640",NA,NA,NA,NA,NA,NA,"1507","1434","1488","1434","1438","1438","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","055053",344,"1495",4,1940,0,"055044","055045","055054","055064","055640",NA,NA,NA,NA,NA,NA,NA,NA,"1488","1495","1495","1495","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","055054",434,"1495",4,1940,0,"055045","055053","055064","055072","055073","055080",NA,NA,NA,NA,NA,NA,NA,"1495","1495","1495","1477","1477","1451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","055061",375,"1434",6,2196,0,"055040","055048","055049","055051","055062","055065","055066","055067","055068",NA,NA,NA,NA,"1434","1434","1434","1438","1438","1438","1438","1438","1438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","055062",219,"1438",7,2374,0,"055051","055061","055067","055068","055069","055640",NA,NA,NA,NA,NA,NA,NA,"1438","1434","1438","1438","1470","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","055064",404,"1495",4,1940,0,"055053","055054","055071","055072","055073","055640",NA,NA,NA,NA,NA,NA,NA,"1495","1495","1470","1477","1477","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","055065",372,"1438",7,2374,0,"055091","055092","055048","055061","055066","055612",NA,NA,NA,NA,NA,NA,NA,"1421","1421","1434","1434","1438","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","055066",386,"1438",7,2374,0,"055092","055048","055061","055065","055067","055612","055613",NA,NA,NA,NA,NA,NA,"1421","1434","1434","1438","1438","1421","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","055067",416,"1438",7,2374,0,"055061","055062","055066","055068","055612","055613","055614",NA,NA,NA,NA,NA,NA,"1434","1438","1438","1438","1421","1421","1427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","055068",528,"1438",7,2374,0,"055097","055051","055061","055062","055067","055069","055074","055075","055613","055614",NA,NA,NA,"1427","1438","1434","1438","1438","1470","1438","1470","1421","1427",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","055069",312,"1470",8,2111,0,"055062","055068","055070","055074","055075","055076","055077","055640",NA,NA,NA,NA,NA,"1438","1438","1470","1438","1470","1470","1470","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","055070",220,"1470",8,2111,0,"055069","055071","055076","055077","055640",NA,NA,NA,NA,NA,NA,NA,NA,"1470","1470","1470","1470","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","055071",309,"1470",8,2111,0,"055064","055070","055072","055077","055078","055640",NA,NA,NA,NA,NA,NA,NA,"1495","1470","1477","1470","1470","1488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","055072",380,"1477",6,2509,1,"055054","055064","055071","055073","055077","055078","055079","055640",NA,NA,NA,NA,NA,"1495","1495","1470","1477","1470","1470","1477","1488",NA,NA,NA,NA,NA,"1495","1470","1488",NA,NA,NA
"102","055073",381,"1477",6,2509,1,"055054","055064","055072","055078","055079","055080",NA,NA,NA,NA,NA,NA,NA,"1495","1495","1477","1470","1477","1451",NA,NA,NA,NA,NA,NA,NA,"1495","1470","1451",NA,NA,NA
"103","055074",33,"1438",7,2374,0,"055097","055098","055068","055069","055075","055614",NA,NA,NA,NA,NA,NA,NA,"1427","1470","1438","1470","1470","1427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","055075",199,"1470",8,2111,0,"055097","055098","055068","055069","055074","055076",NA,NA,NA,NA,NA,NA,NA,"1427","1470","1438","1470","1438","1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","055076",120,"1470",8,2111,0,"055098","055069","055070","055075","055077",NA,NA,NA,NA,NA,NA,NA,NA,"1470","1470","1470","1470","1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","055077",270,"1470",8,2111,0,"055098","055069","055070","055071","055072","055076","055078","055619",NA,NA,NA,NA,NA,"1470","1470","1470","1470","1477","1470","1470","1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","055078",237,"1470",8,2111,0,"055098","055071","055072","055073","055077","055079","055103","055619",NA,NA,NA,NA,NA,"1470","1470","1477","1477","1470","1477","1477","1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","055079",526,"1477",6,2509,1,"055072","055073","055078","055080","055103","055104","055619",NA,NA,NA,NA,NA,NA,"1477","1477","1470","1451","1477","1451","1477",NA,NA,NA,NA,NA,NA,"1470","1451",NA,NA,NA,NA
"109","055080",702,"1451",4,2324,0,"055081","055054","055073","055079","055103","055104","056056",NA,NA,NA,NA,NA,NA,"1451","1495","1477","1477","1477","1451","1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
